title,price_from,wasPrice,location,sleeps,bedrooms,pets,customer_ratings,hot_tub,provider,date_scraped,url
Number One The Crescent,1336,was £1601,"Filey, North York Moors & Coast",6,3,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Filey/Number-One-The-Crescent-1088670.html?_hsearch=220406624df581195ca&_price=1336&_display=1#duration=7&start=2022-08-19&changeover=5
Wrens Nest,1304,,"Slapton, Devon",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Higher-Ley/Wrens-Nest-1070740.html?_hsearch=220406624df5811c71d&_price=1304&_display=1#duration=7&start=2022-08-19&changeover=5
The Cow Shed,525,was £608,"Helsey near Hogsthorpe, Lincolnshire",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lincolnshire-Helsey/The-Cow-Shed-1101300.html?_hsearch=220406624df5812035c&_price=525&_display=1#duration=7&start=2022-08-19&changeover=5
Willow,1018,was £1306,"Notton near Maiden Newton, Dorset",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/DorsetSomerset-Notton/Willow-1096952.html?_hsearch=220406624df58124694&_price=1018&_display=1#duration=7&start=2022-08-19&changeover=5
Chalet 3,512,,"East Heslerton near Sherburn, North York Moors & Coast",2,1,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Heslerton-Grange/Chalet-3-1094316.html?_hsearch=220406624df58128011&_price=512&_display=1#duration=7&start=2022-08-19&changeover=5
1 Hillmorhayes,999,was £1140,"Drewsteignton, Devon",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Rectory-Wood/1-Hillmorhayes-1095389.html?_hsearch=220406624df5812b207&_price=999&_display=1#duration=7&start=2022-08-19&changeover=5
The Cowshed,1163,,"Merrymeet near Pensilva, Devon",4,1,Yes,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Cutcare/The-Cowshed-1097934.html?_hsearch=220406624df5812e6db&_price=1163&_display=1#duration=7&start=2022-08-19&changeover=5
Winnie's Stable,578,was £647,"Goodmanham Wold near Market Weighton, Vale of York & Yorkshire Wolds",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Allotment-Fm/Winnies-Stable-958391.html?_hsearch=220406624df58132b06&_price=578&_display=1#duration=7&start=2022-08-19&changeover=5
3 Peters Terrace,1296,,"Stithians, Cornwall",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Stithians/3-Peters-Terrace-1094376.html?_hsearch=220406624df58135ce5&_price=1296&_display=1#duration=7&start=2022-08-21&changeover=0
Forest Farm Cottage,1013,was £1156,"Balcombe, Sussex",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Sussex-Oaks-The/Forest-Farm-Cottage-1072258.html?_hsearch=220406624df58138ae5&_price=1013&_display=1#duration=7&start=2022-08-19&changeover=5
Robellen Corner,1031,,"Adderbury, Oxfordshire",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Northamptonshire-Adderbury/Robellen-Corner-1102267.html?_hsearch=220406624df58228e61&_price=1031&_display=1#duration=7&start=2022-08-18&changeover=4
4 Summercourt,1736,,"Penryn, Cornwall",6,3,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Penryn/4-Summercourt-1089108.html?_hsearch=220406624df5822ae37&_price=1736&_display=1#duration=7&start=2022-08-20&changeover=6
The Cottage,1111,was £1249,"Silkstone, Peak District & Derbyshire Dales",4,3,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Noblethorpe/The-Cottage-1091575.html?_hsearch=220406624df5822c897&_price=1111&_display=1#duration=7&start=2022-08-19&changeover=5
Curlew,1163,,"Poole, Dorset",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/DorsetSomerset-Longfleet/Curlew-1102863.html?_hsearch=220406624df5822eec9&_price=1163&_display=1#duration=7&start=2022-08-20&changeover=6
The Hideaway,1274,was £1709,"Thurlestone, Devon",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Buckland/The-Hideaway-1064705.html?_hsearch=220406624df58233cd9&_price=1274&_display=1#duration=7&start=2022-08-19&changeover=5
Stable Cottage,726,,"Broughton-In-Furness near Thwaites, Cumbria & The Lake District",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Broughton-in-Furness/Stable-Cottage-1067089.html?_hsearch=220406624df582368c1&_price=726&_display=1#duration=7&start=2022-08-20&changeover=6
Little Gem,670,,"Dearham, Cumbria & The Lake District",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Ayrshire-and-Dumfries-Galloway-Dearham/Little-Gem-1093013.html?_hsearch=220406624df58238a37&_price=670&_display=1#duration=7&start=2022-08-19&changeover=5
Chalet 2,521,,"East Heslerton near Sherburn, North York Moors & Coast",2,1,Yes,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Heslerton-Grange/Chalet-2-1094315.html?_hsearch=220406624df5823aeb6&_price=521&_display=1#duration=7&start=2022-08-19&changeover=5
The Parlour,525,was £608,"Helsey near Hogsthorpe, Lincolnshire",2,1,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lincolnshire-Listoft/The-Parlour-1101306.html?_hsearch=220406624df5825adda&_price=525&_display=1#duration=7&start=2022-08-19&changeover=5
3 West Street,729,was £1011,"Bampton, Devon, Devon",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Bampton/3-West-Street-1076176.html?_hsearch=220406624df58260410&_price=729&_display=1#duration=7&start=2022-08-20&changeover=6
The Bulwark,814,was £1041,"Drax, North Yorkshire, North York Moors & Coast",2,1,No,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Drax/The-Bulwark-1097958.html?_hsearch=220406624df58262ff3&_price=814&_display=1#duration=7&start=2022-08-19&changeover=5
The Willow,814,was £1041,"Drax, North Yorkshire, North York Moors & Coast",2,1,No,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Drax/The-Willow-1097960.html?_hsearch=220406624df582669f8&_price=814&_display=1#duration=7&start=2022-08-19&changeover=5
Leys Cottage,1209,was £1554,"Lower Swell, Gloucestershire",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Gloucestershire-Lower-Swell/Leys-Cottage-1094201.html?_hsearch=220406624df58269836&_price=1209&_display=1#duration=7&start=2022-08-20&changeover=6
Hollytree Cottage,1123,was £1442,"Hook Norton, Oxfordshire",4,3,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Northamptonshire-East-End/Hollytree-Cottage-1079076.html?_hsearch=220406624df5826c600&_price=1123&_display=1#duration=7&start=2022-08-19&changeover=5
Harry's Cottage,937,was £1200,"Camelford, Cornwall",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Camelford/Harrys-Cottage-1095210.html?_hsearch=220406624df5826f011&_price=937&_display=1#duration=7&start=2022-08-20&changeover=6
The Dairy,607,was £691,"Helsey near Hogsthorpe, Lincolnshire",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lincolnshire-Helsey/The-Dairy-1101309.html?_hsearch=220406624df58270f25&_price=607&_display=1#duration=7&start=2022-08-19&changeover=5
Rose Cottage,1429,,"Corsham, Wiltshire",6,3,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-DorsetSomerset-Middlewick/Rose-Cottage-1094772.html?_hsearch=220406624df58274100&_price=1429&_display=1#duration=7&start=2022-08-20&changeover=6
Cutkieve Cottage,968,was £1104,"Pensilva, Cornwall",3,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Liskeard/Cutkieve-Cottage-1095866.html?_hsearch=220406624df58276749&_price=968&_display=1#duration=7&start=2022-08-20&changeover=6
Cosworth,1369,was £1903,"Newquay, Cornwall",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Gannel-The/Cosworth-1087101.html?_hsearch=220406624df58279c0a&_price=1369&_display=1#duration=7&start=2022-08-20&changeover=6
Ellerslie Cottage,637,was £823,"Lytham, Cumbria & The Lake District",3,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-St-Annes/Ellerslie-Cottage-1097130.html?_hsearch=220406624df5827c411&_price=637&_display=1#duration=7&start=2022-08-20&changeover=6
Gunner Cottage,5272,,"Chapel-le-Dale, Ingleton, Three Peaks Country, Yorkshire Dales - South",9,4,No,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Ingleton/Gunner-Cottage-12877.html?_hsearch=220406624df5837f248&_price=5272&_display=1#duration=7&start=2022-08-20&changeover=6
Easton Cottage,1310,was £1498,"Chagford, Devon",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Easton/Easton-Cottage-1096133.html?_hsearch=220406624df583822d0&_price=1310&_display=1#duration=7&start=2022-08-19&changeover=5
Woodpeckers Barns,910,was £1038,"Duloe, Cornwall",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Killigorrick/Woodpeckers-Barns-1099930.html?_hsearch=220406624df58385e83&_price=910&_display=1#duration=7&start=2022-08-19&changeover=5
Dove Cottage,802,was £899,"Pickering, Vale of York & Yorkshire Wolds",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Upper-Carr-Fm/Dove-Cottage-1069655.html?_hsearch=220406624df58389f2e&_price=802&_display=1#duration=7&start=2022-08-19&changeover=5
3 Hull House Cottage,659,was £1103,"Hellifield, Yorkshire Dales - South",2,1,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Hull-Ho/3-Hull-House-Cottage-1079103.html?_hsearch=220406624df5838d793&_price=659&_display=1#duration=7&start=2022-08-19&changeover=5
14 Scholes Park Avenue,727,was £839,"Scarborough, North York Moors & Coast",6,3,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Scalby-Mills/14-Scholes-Park-Avenue-1101815.html?_hsearch=220406624df58391264&_price=727&_display=1#duration=7&start=2022-08-19&changeover=5
27 Montague Street,776,was £884,"York, North York Moors & Coast",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-South-Bank/27-Montague-Street-1094745.html?_hsearch=220406624df58395578&_price=776&_display=1#duration=7&start=2022-08-21&changeover=0
35 Beckmeadow Way,1558,,"Mundesley, Norfolk",6,3,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Norfolk-Mundesley/35-Beckmeadow-Way-1091573.html?_hsearch=220406624df583986f6&_price=1558&_display=1#duration=7&start=2022-08-19&changeover=5
Church Cottage,1211,,"Chagford, Devon",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Chagford/Church-Cottage-1079568.html?_hsearch=220406624df5839be9d&_price=1211&_display=1#duration=7&start=2022-08-20&changeover=6
14 The Promenade,829,,"Withernsea, North York Moors & Coast",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Northfield-Ho/14-The-Promenade-1101112.html?_hsearch=220406624df5839eed5&_price=829&_display=1#duration=7&start=2022-08-19&changeover=5
2 Hull House Cottage,982,,"Hellifield, Yorkshire Dales - South",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Hull-Ho/2-Hull-House-Cottage-1079099.html?_hsearch=220406624df583a3617&_price=982&_display=1#duration=7&start=2022-08-19&changeover=5
Seaside Retreat,1255,,"Lowestoft, Suffolk",5,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Norfolk-Roman-Hill/Seaside-Retreat-1089925.html?_hsearch=220406624df583a6c89&_price=1255&_display=1#duration=7&start=2022-08-20&changeover=6
Penistone View,792,,"Oxenhope, Yorkshire Dales - South",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Yorkshire-Dales-South-Keighley/Penistone-View-1096469.html?_hsearch=220406624df583a9a8d&_price=792&_display=1#duration=7&start=2022-08-19&changeover=5
87 West Street,1020,,"Tetbury, Gloucestershire",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Gloucestershire-Charlton-Ho/87-West-Street-1095446.html?_hsearch=220406624df583ac70a&_price=1020&_display=1#duration=7&start=2022-08-19&changeover=5
9 Castle Garth,999,was £1140,"Sewerby, North York Moors & Coast",6,3,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Sands-Ho/9-Castle-Garth-1098945.html?_hsearch=220406624df583b002b&_price=999&_display=1#duration=7&start=2022-08-19&changeover=5
Half Island Lodge,634,was £839,"Lowgill near Sedbergh, Cumbria & The Lake District",2,1,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Beck-Foot/Half-Island-Lodge-1083269.html?_hsearch=220406624df583b35c5&_price=634&_display=1#duration=7&start=2022-08-21&changeover=0
"Redwood Lodge, Retallack",3401,was £4067,"Winnard's Perch, Cornwall",8,4,No,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Retallack/Redwood-Lodge-Retallack-1061624.html?_hsearch=220406624df583b6b86&_price=3401&_display=1#duration=7&start=2022-08-19&changeover=5
Tresero,1236,was £1413,"Lostwithiel, Cornwall",6,3,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Lanwithan/Tresero-1075237.html?_hsearch=220406624df583ba491&_price=1236&_display=1#duration=7&start=2022-08-20&changeover=6
Aditum Cottage,2594,,"East Barkwith near Wragby, Lincolnshire",8,4,No,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lincolnshire-East-Barkwith/Aditum-Cottage-941141.html?_hsearch=220406624df583be04f&_price=2594&_display=1#duration=7&start=2022-08-19&changeover=5
Foxes Den,1430,was £1851,"Allerston near Thornton Dale, North York Moors & Coast",4,2,Yes,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Allerston/Foxes-Den-1097485.html?_hsearch=220406624df583c0f15&_price=1430&_display=1#duration=7&start=2022-08-19&changeover=5
Hilltop,775,,"Wrelton near Pickering, North York Moors & Coast",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Cass-Hagg/Hilltop-1098479.html?_hsearch=220406624df584bc838&_price=775&_display=1#duration=7&start=2022-08-19&changeover=5
Lauriston,2297,was £2691,"Brixham, Devon",8,4,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Brixham/Lauriston-1072149.html?_hsearch=220406624df584bf267&_price=2297&_display=1#duration=7&start=2022-08-20&changeover=6
Chloe's Lodge,1060,was £1210,"Cropton near Middleton, Ryedale, North York Moors & Coast",6,3,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Cropton/Chloes-Lodge-1003270.html?_hsearch=220406624df584c213b&_price=1060&_display=1#duration=7&start=2022-08-19&changeover=5
The Hut,470,was £696,"Barton in the Beans near Market Bosworth, Peak District & Derbyshire Dales",2,1,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Leicestershire-Barton-in-the-Beans/The-Hut-1039958.html?_hsearch=220406624df584c48b2&_price=470&_display=1#duration=7&start=2022-08-19&changeover=5
The Cottage,869,was £1112,"Fishbourne near Ryde, Isle of Wight",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Hampshire-Fishbourne/The-Cottage-1093465.html?_hsearch=220406624df584c7c74&_price=869&_display=1#duration=7&start=2022-08-19&changeover=5
Down the Rabbit Hole,1130,,"Brinsea near Congresbury, Somerset",6,3,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/DorsetSomerset-Brinsea/Down-the-Rabbit-Hole-1101122.html?_hsearch=220406624df584caa8f&_price=1130&_display=1#duration=7&start=2022-08-20&changeover=6
Netherend Inn,671,,"Woolaston, Gloucestershire",2,1,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Gloucestershire-Netherend/Netherend-Inn-1102411.html?_hsearch=220406624df584cd711&_price=671&_display=1#duration=7&start=2022-08-19&changeover=5
6A Elms Road,774,,"Morecambe, Cumbria & The Lake District",2,1,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Scalestones-Point/6A-Elms-Road-1097724.html?_hsearch=220406624df584cff6c&_price=774&_display=1#duration=7&start=2022-08-19&changeover=5
Barn Cottage,994,,"Pelynt, Cornwall",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Pelynt/Barn-Cottage-1100936.html?_hsearch=220406624df584d26d2&_price=994&_display=1#duration=7&start=2022-08-20&changeover=6
Antala,984,was £1354,"Wembury, Devon",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Blackstone-Rocks/Antala-1092295.html?_hsearch=220406624df584d77db&_price=984&_display=1#duration=7&start=2022-08-20&changeover=6
Woodside Retreat,818,was £1046,"Watchet, Somerset",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Warren-Fm/Woodside-Retreat-1088577.html?_hsearch=220406624df584d9c84&_price=818&_display=1#duration=7&start=2022-08-19&changeover=5
The Knight's Watch,666,was £769,"Richmond, North York Moors & Coast",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Yorkshire-Dales-North-Holly-Hill/The-Knights-Watch-1101099.html?_hsearch=220406624df584dc477&_price=666&_display=1#duration=7&start=2022-08-19&changeover=5
Cinders Cottage,610,was £844,"Holmfirth, Peak District & Derbyshire Dales",2,1,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Cartworth/Cinders-Cottage-1064038.html?_hsearch=220406624df584deb69&_price=610&_display=1#duration=7&start=2022-08-19&changeover=5
Lower Venn Granary Apartment 1,589,was £670,"Sutton St. Nicholas near Bodenham, Herefordshire",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Herefordshire-Vauld-The/Lower-Venn-Granary-Apartment-1-1094508.html?_hsearch=220406624df584e12b5&_price=589&_display=1#duration=7&start=2022-08-19&changeover=5
Orchard House Cottage,687,,"Malmesbury, Wiltshire",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Gloucestershire-Corston/Orchard-House-Cottage-1081750.html?_hsearch=220406624df584e3623&_price=687&_display=1#duration=7&start=2022-08-19&changeover=5
109 Bude,1542,,"Haven Croft near Goonhavern, Cornwall",4,2,Yes,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Carnebo-Fm/109-Bude-1092001.html?_hsearch=220406624df584e64c4&_price=1542&_display=1#duration=7&start=2022-08-20&changeover=6
Nicol Nook,1015,was £1302,"Drax, North Yorkshire, North York Moors & Coast",4,2,No,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Drax/Nicol-Nook-1097956.html?_hsearch=220406624df584e8b76&_price=1015&_display=1#duration=7&start=2022-08-19&changeover=5
22 Badgers Retreat,730,was £1012,"Tunstall near Catterick, North Yorkshire, Yorkshire Dales - North",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Yorkshire-Dales-North-Mount-The/22-Badgers-Retreat-1074308.html?_hsearch=220406624df584eb31a&_price=730&_display=1#duration=7&start=2022-08-19&changeover=5
Bronte Barn,705,was £800,"Oakworth, Yorkshire Dales - South",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Yorkshire-Dales-South-Lane-End/Bronte-Barn-1087860.html?_hsearch=220406624df584ed883&_price=705&_display=1#duration=7&start=2022-08-20&changeover=6
Filbert Pod,942,was £1207,"Arundel, West Sussex, Sussex",2,1,Yes,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Sussex-Yapton/Filbert-Pod-1079978.html?_hsearch=220406624df584efcfd&_price=942&_display=1#duration=7&start=2022-08-19&changeover=5
Periwinkle Cottage,483,was £626,"Barrow Upon Soar, Leicestershire",3,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Leicestershire-Barrow-upon-Soar/Periwinkle-Cottage-1074062.html?_hsearch=220406624df5860884e&_price=483&_display=1#duration=7&start=2022-08-20&changeover=6
Red Brick Retreat,809,was £1034,"Diss, Suffolk",2,1,No,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Suffolk-Grange-The/Red-Brick-Retreat-1074044.html?_hsearch=220406624df5860ab5a&_price=809&_display=1#duration=7&start=2022-08-19&changeover=5
Lapwing Lodge,711,was £986,"Cockerham near Lancaster, Cumbria & The Lake District",2,1,No,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Sand-Side/Lapwing-Lodge-1080094.html?_hsearch=220406624df5860d270&_price=711&_display=1#duration=7&start=2022-08-19&changeover=5
Bears Court North Barn 1,1909,was £2461,"Bourton-On-The-Water, Gloucestershire",6,3,Yes,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Gloucestershire-Little-Rissington/Bears-Court-North-Barn-1-1095864.html?_hsearch=220406624df5860ed2a&_price=1909&_display=1#duration=7&start=2022-08-19&changeover=5
Curlew Corner,711,was £986,"Cockerham near Lancaster, Cumbria & The Lake District",2,1,No,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Sand-Side/Curlew-Corner-1086213.html?_hsearch=220406624df58610986&_price=711&_display=1#duration=7&start=2022-08-19&changeover=5
Miramar,5542,was £6256,"Downderry, Cornwall",8,4,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Battern-Cliffs/Miramar-1009233.html?_hsearch=220406624df58613a24&_price=5542&_display=1#duration=7&start=2022-08-20&changeover=6
The Dippy,935,was £1050,"Little Brampton near Aston On Clun, Shropshire",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Shropshire-Little-Brampton/The-Dippy-1081684.html?_hsearch=220406624df58615bd0&_price=935&_display=1#duration=7&start=2022-08-19&changeover=5
Denbigh Hall,838,was £1072,"Stansbatch near Presteigne, Herefordshire",6,3,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Herefordshire-Horseway-Head/Denbigh-Hall-1077504.html?_hsearch=220406624df586177ca&_price=838&_display=1#duration=7&start=2022-08-19&changeover=5
Hideaway Cottage,794,was £890,"Penrith, Cumbria & The Lake District",3,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Penrith/Hideaway-Cottage-1077196.html?_hsearch=220406624df586198ec&_price=794&_display=1#duration=7&start=2022-08-19&changeover=5
Sparrow Cottage,919,,"Threlkeld near Keswick, Cumbria & The Lake District",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Ayrshire-and-Dumfries-Galloway-Threlkeld-Common/Sparrow-Cottage-1068335.html?_hsearch=220406624df5861be4d&_price=919&_display=1#duration=7&start=2022-08-19&changeover=5
Egypt Granary,611,was £790,"Brenchley, Kent",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Kent-Old-Cryals/Egypt-Granary-1088556.html?_hsearch=220406624df5861fdfb&_price=611&_display=1#duration=7&start=2022-08-20&changeover=6
